run_id,sample_id,forward,reverse
AN00009242,202307296,/n/groups/kwon/joseph/projects/download/AN00009242/202307296/202307296_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307296/202307296_2.fastq.gz
AN00009242,202307300,/n/groups/kwon/joseph/projects/download/AN00009242/202307300/202307300_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307300/202307300_2.fastq.gz
AN00009242,202307326,/n/groups/kwon/joseph/projects/download/AN00009242/202307326/202307326_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307326/202307326_2.fastq.gz
AN00009242,202307338,/n/groups/kwon/joseph/projects/download/AN00009242/202307338/202307338_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307338/202307338_2.fastq.gz
AN00009242,202307375,/n/groups/kwon/joseph/projects/download/AN00009242/202307375/202307375_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307375/202307375_2.fastq.gz
AN00009242,202307382,/n/groups/kwon/joseph/projects/download/AN00009242/202307382/202307382_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307382/202307382_2.fastq.gz
AN00009242,202307390,/n/groups/kwon/joseph/projects/download/AN00009242/202307390/202307390_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307390/202307390_2.fastq.gz
AN00009242,202307393,/n/groups/kwon/joseph/projects/download/AN00009242/202307393/202307393_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307393/202307393_2.fastq.gz
AN00009242,202307407,/n/groups/kwon/joseph/projects/download/AN00009242/202307407/202307407_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307407/202307407_2.fastq.gz
AN00009242,202307419,/n/groups/kwon/joseph/projects/download/AN00009242/202307419/202307419_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307419/202307419_2.fastq.gz
AN00009242,202307428,/n/groups/kwon/joseph/projects/download/AN00009242/202307428/202307428_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307428/202307428_2.fastq.gz
AN00009242,202307465,/n/groups/kwon/joseph/projects/download/AN00009242/202307465/202307465_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307465/202307465_2.fastq.gz
AN00009242,202307472,/n/groups/kwon/joseph/projects/download/AN00009242/202307472/202307472_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307472/202307472_2.fastq.gz
AN00009242,202307486,/n/groups/kwon/joseph/projects/download/AN00009242/202307486/202307486_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307486/202307486_2.fastq.gz
AN00009242,202307513,/n/groups/kwon/joseph/projects/download/AN00009242/202307513/202307513_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307513/202307513_2.fastq.gz
AN00009242,202307529,/n/groups/kwon/joseph/projects/download/AN00009242/202307529/202307529_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307529/202307529_2.fastq.gz
AN00009242,202307537,/n/groups/kwon/joseph/projects/download/AN00009242/202307537/202307537_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307537/202307537_2.fastq.gz
