sample	strain	community
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	63	0.07789767
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	64	2.491012e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	65	2.2655414e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	69	2.8254516e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	71	0.6328748
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	72	2.4019553e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	73	2.2674108e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	76	2.5320264e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	77	2.186664e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	79	0.257124
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	80	2.0983772e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	82	2.5440514e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	-1	3.733921e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	0	2.2445768e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	1	2.6514291e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	2	4.357131e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	4	1.08474005e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	5	0.999999
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	6	1.27791e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	8	1.0916516e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	10	1.5758266e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	11	9.205258e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	14	1.6848748e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	15	1.16455015e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	16	9.6494714e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	17	8.362396e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	19	1.3340604e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	22	1.2842013e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	23	1.0799204e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	25	8.558227e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	27	1.0591455e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	29	5.9397895e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	33	1.0749911e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	34	9.79418e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	39	1.1370894e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	43	5.2840425e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	45	6.6718093e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	46	2.1672315e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	47	5.152643e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	49	1.1177299e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	51	1.3289793e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302594__gtpro__crisp.tsv.temp	52	1.1785237e-08
